101,Molnar Eniko,4100,m,8.30,4.51,0,Eros Gerda,4101,m,8.49,2.55,0,Balazs Barnabas,4102,m,5.66,3.13,0,Bakos Janos,4103,m,5.52,2.20,0,N
102,Racz Peter,4104,v,5.04,3.45,0,Farkas Szilarda,4105,m,2.15,3.65,0,Budai Jeromos,4106,m,3.97,3.36,0,Nemeth Zsigmond,4107,m,5.01,2.72,0,N
103,Hajdu Veronika,4108,m,5.63,1.35,0,Orosz Marta,4109,u,7.56,4.96,0,Mezo Vilmos,4110,v,4.17,1.08,0,Kozma Aniko,4111,m,2.62,4.17,0,N
104,Balog Dominika,4112,m,2.38,2.71,0,Fodor Zsigmond,4113,m,6.44,3.56,0,Torok Villo,4114,v,8.21,3.58,0,Kovats Robert,4115,m,8.48,2.80,0,N
105,Somogyi Amalia,4116,m,8.02,1.36,13,Gal Lajos,4117,m,8.34,3.82,0,Kovach Erhard,4118,m,2.17,1.22,0,Gyori Mercedesz,4119,m,3.89,2.02,0,N
106,Lengyel Zelma,4120,m,2.34,1.14,0,Biro Peter,4121,m,4.54,1.03,0,Barna Teofil,4122,m,2.53,3.63,0,Juhasz Irma,4123,m,5.62,3.93,0,N
107,Racz Kende,4124,m,2.71,2.51,0,Kovach Jacint,4125,m,7.93,4.95,0,Orosz Tekla,4126,m,8.90,1.09,0,Kis Hunor,4127,m,4.11,3.73,0,N
108,Ujhelyi Dorina,4128,m,2.61,3.45,0,Kovach Bettina,4129,v,7.67,3.56,0,Nemeth Arpad,4130,m,3.25,3.47,0,Hegedus Matyas,4131,v,2.98,3.20,0,N
109,Kocsis Balint,4132,m,6.02,1.78,0,Pataki Tivadar,4133,v,6.23,3.85,0,Viragh Laszlo,4134,m,4.41,1.53,0,Takacs Zoltan,4135,m,4.29,4.38,0,N
110,Szilagyi Kolos,4136,v,3.75,4.81,0,Varga Andras,4137,m,7.50,3.03,0,Balogh Andrea,4138,m,7.28,2.95,0,Gyori Levente,4139,m,5.00,1.78,0,N
111,Balogh Alajos,4140,v,6.05,4.70,0,Gulyas Kazmer,4141,m,3.02,4.38,0,Ujhelyi Rebeka,4142,m,5.00,1.59,0,Major Elod,4143,m,8.64,3.66,0,N
112,Viragh Rudolf,4144,u,8.67,4.91,0,Horvat Jakab,4145,v,7.99,4.82,8,Feher Erik,4146,m,2.22,3.73,0,Juhasz Herman,4147,v,8.48,1.14,17,N
113,Kiss Genoveva,4148,v,4.24,2.40,0,Kiss Sandor,4149,v,7.69,1.61,0,Kovacs Edith,4150,v,3.41,3.29,0,Kovats Gyongyver,4151,m,5.94,3.60,0,N
114,Szucs Katalin,4152,v,4.13,1.47,0,Pasztor Elias,4153,m,6.33,2.21,0,Kovats Jeno,4154,m,2.04,3.85,0,Racz Ferenc,4155,v,5.11,4.88,0,N
115,Balazs Leo,4156,m,8.30,1.52,3,Mezo Paula,4157,m,2.32,1.40,0,Kiraly Roland,4158,m,2.83,2.99,0,Nagy Gerzson,4159,m,4.76,3.73,0,N
